track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Talking To The Moon,Bruno Mars,1,2010,10,4,7109,2,1062956628,5,0,862,0,0,146,C#,Minor,-0.5717305530247258,-0.8970769927330865,-0.1505051270729954,-0.9997115687075114,-0.1886134947097773,-0.7450491438856457,-0.642445386958052
you broke me first,Tate McRae,1,2020,4,17,6638,0,1180094974,167,19,318,0,1,124,E,Major,-0.299879935668019,-0.26212947296450395,-0.026050450859578377,0.3015446331012514,-0.1886134947097773,-0.671431301633535,-0.2530112480264015
The Nights,Avicii,1,2014,1,1,17354,8,1456081449,92,122,"1,282",0,55,126,F#,Major,-0.7756185160422557,-0.4314488115694593,-0.461641817606538,-0.9997115687075114,-0.1886134947097773,-0.37695993262509286,-0.7398039216909645
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,5481,0,489945871,144,30,86,0,0,136,B,Minor,0.7875225337588079,-0.13513996901078745,1.218496311274592,-0.5265274953225068,-0.1886134947097773,0.21198280539179154,1.2073667729672874
Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,2636,3,465959382,36,82,39,0,5,102,A,Minor,0.1758586447062178,-1.2357156699429972,-0.21273246517970393,-0.9602795625920945,-0.1886134947097773,-0.5978134593814245,2.278310655029326
Enemy - from the series Arcane League of Legends,"Imagine Dragons, League of Legends, Arcane",3,2021,10,27,824,0,1223481149,8,8,8,2,0,77,G,Major,0.24382129904539446,0.16116887354788442,-1.2705972129937486,1.8788248777179335,-0.1886134947097773,-0.524195617129314,-0.44772831749222675
Lucid Dreams,Juice WRLD,1,2017,6,15,14749,0,2288695111,188,34,710,0,5,84,B,Minor,0.10789599036704109,1.6427130863412438,1.6540876780215514,-0.8025515381304262,-0.1886134947097773,1.2426325969213392,-0.642445386958052
Quï¿½ï¿½ Mï¿½ï¿,"J Balvin, Maria Becerra",2,2021,1,28,8087,0,720825549,92,34,131,0,0,102,G#,Major,1.7389996945072814,1.092425235875139,-1.2083698748870402,-0.05334342193750211,-0.1886134947097773,-0.37695993262509286,1.5968009118989377
All of Me,John Legend,1,2013,8,1,27221,0,2086124197,308,118,"4,534",2,77,120,G#,Major,-0.707655861703079,-1.9129930243628186,-2.328461960807793,2.273144938872104,-0.1886134947097773,-0.671431301633535,-0.7398039216909645
Smells Like Teen Spirit - Remastered 2021,Nirvana,1,1991,9,10,49991,9,1690192927,265,121,"12,367",4,160,117,C#,Major,1.4671490771505746,0.3304882121528398,-0.026050450859578377,-0.8419835442458432,-0.1886134947097773,0.06474712088757043,-0.35036978275931413
Fair Trade (with Travis Scott),"Drake, Travis Scott",2,2021,9,3,5403,6,593917618,118,116,96,0,3,168,C#,Major,-0.6396932073639023,0.8384462279677058,0.9695869588477579,-0.4476634830916727,-0.1886134947097773,-0.8186669861377562,2.959820398159714
Bar,"Tini, L-Gante",2,2021,11,11,755,4,200972675,22,3,0,0,0,94,C#,Major,1.2632611141330448,1.9390219288999158,0.9695869588477579,0.3804086453320855,-0.1886134947097773,-0.671431301633535,-0.44772831749222675
The Rumbling (TV Size),SiM,1,2022,1,10,254,0,71014967,0,4,23,0,0,145,G#,Major,0.7195598794196312,1.3464042437825718,0.6584502683142153,0.5775686759091708,-0.1886134947097773,0.6536898589044549,-0.2530112480264015
family ties (with Kendrick Lamar),"Kendrick Lamar, Baby Keem",2,2021,8,27,6308,5,560222750,114,15,63,0,2,134,C#,Major,-1.5232077137731992,-1.1087261659892806,1.218496311274592,-0.21107144639917033,-0.1886134947097773,-0.37695993262509286,-0.44772831749222675
Mr. Brightside,The Killers,1,2003,9,23,51979,15,1806617704,306,99,"5,063",2,120,148,C#,Major,0.7875225337588079,1.5157235823875272,1.0318142969544664,-0.8814155503612603,-0.1886134947097773,-0.5978134593814245,-0.642445386958052
Blessed-Cursed,ENHYPEN,1,2022,1,10,246,0,77337771,2,12,10,0,0,127,E,Minor,1.2632611141330448,0.4574777161065563,-0.9594605224602061,0.9718887370633413,-0.1886134947097773,1.2426325969213392,1.0126497035014623
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,6556,0,528544703,93,5,67,1,0,172,F#,Minor,1.603074385828928,0.9231058972701836,0.4717682539940897,-0.5265274953225068,-0.1886134947097773,-0.671431301633535,0.4284984951039867
Streets,Doja Cat,1,2019,11,7,5728,0,865640097,85,87,179,0,12,90,B,Major,0.03993333602786441,-1.1510560006405195,-0.39941447949982944,0.695864694255422,-0.1886134947097773,-0.8922848283898668,-0.7398039216909645
Shallow,"Lady Gaga, Bradley Cooper",2,2018,9,27,16636,12,2159346687,368,155,"2,854",6,121,96,G,Major,-0.43580524434637236,-1.320375339245475,-1.6439612416339997,1.3662087982175117,-0.1886134947097773,-0.5978134593814245,-0.5450868522251393
Polaroid Love,ENHYPEN,1,2022,1,10,461,0,211372494,10,56,17,0,0,138,G,Minor,-0.43580524434637236,0.07650920424540675,-1.6439612416339997,2.273144938872104,-0.1886134947097773,0.7273077011565654,3.251896002358452
Leave Before You Love Me (with Jonas Brothers),"Marshmello, Jonas Brothers",2,2021,4,28,4893,4,651732901,143,24,110,0,70,120,G,Major,0.9234478424371613,-0.516108480871937,0.09840422535383865,0.45927265756291963,-0.1886134947097773,-0.4505777748772034,0.3311399603710741
Permission to Dance,BTS,1,2021,7,9,1801,2,608334048,77,134,74,0,2,125,A,Major,0.7195598794196312,-0.47377864622069815,0.5962229302075067,0.3804086453320855,-0.1886134947097773,-0.08248856361665068,1.5968009118989377
Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",4,2021,1,15,12043,0,863756573,209,54,710,0,18,123,D,Major,-0.7756185160422557,0.41514788145531745,1.591860339914843,0.3804086453320855,-0.1886134947097773,-0.008870721364540124,1.9862350508305882
RAPSTAR,Polo G,1,2021,4,9,4731,0,797402345,141,12,78,0,0,81,F#,Major,-1.0474691333989625,-0.8124173234306089,1.1562689731678835,-0.09277542805291916,-0.1886134947097773,-0.08248856361665068,3.1545374676255395
'Till I Collapse,"Eminem, Nate Dogg",2,2002,5,26,22923,0,1695712020,78,46,"2,515",1,0,171,C#,Major,-0.8435811703814324,-0.050480299708309764,0.8451322826343408,-0.2899354586300045,-0.1886134947097773,-0.524195617129314,2.3756691897622386
Memories,Maroon 5,1,2019,9,20,9974,2,1759567999,272,67,"1,066",1,19,91,B,Major,1.195298459793868,-0.4314488115694593,-1.3328245511004573,0.49870466367833666,-0.1886134947097773,-0.4505777748772034,1.0126497035014623
Se Le Ve,"Arcangel, De La Ghetto, Justin Quiles, Lenny Tavï¿½ï¿½rez, Sech, Dalex, Dimelo Flow, Rich Music",8,2021,8,12,1560,0,223319934,72,0,0,0,0,84,G,Minor,0.24382129904539446,-0.34678914226698165,0.036176887247130134,-0.13220743416833622,-0.1886134947097773,-0.671431301633535,-0.5450868522251393
25k jacket (feat. Lil Baby),"Gunna, Lil Baby",2,2022,1,7,620,0,54937991,17,3,3,0,0,115,F,Minor,1.6710370401681047,1.1347550705263778,-0.461641817606538,0.7747287064862561,-0.1886134947097773,-0.3033420903729823,-0.15565271329348893
Esqueï¿½ï¿½a-Me Se For C,"Marï¿½ï¿½lia Mendonï¿½ï¿½a, Maiara &",2,2021,10,14,580,0,258316038,24,92,93,0,0,122,F#,Minor,0.7195598794196312,-0.008150465057070927,-1.3328245511004573,1.6816648471408482,-0.1886134947097773,-0.3033420903729823,-0.15565271329348893
Miï¿½ï¿½n,"Tini, Maria Becerra",2,2021,4,29,3406,16,596152090,61,23,70,1,0,92,D,Major,0.8554851880979846,-0.26212947296450395,-0.1505051270729954,1.9576888899487677,-0.1886134947097773,-0.5978134593814245,2.6677447939609764
Sï¿½ï¿½,"Anuel Aa, Myke Towers, Jhay Cortez",3,2021,11,18,903,0,177129919,30,26,15,0,0,90,F#,Minor,0.991410496776338,-0.050480299708309764,0.16063156346054716,-0.5659595014379238,-0.1886134947097773,-0.37695993262509286,-0.5450868522251393
MAMIII,"Karol G, Becky G",2,2022,2,10,6809,28,716591492,151,102,175,5,29,94,E,Minor,-0.16395462698966562,0.03417936959416791,0.2850862396739642,0.18324861475500023,-0.1886134947097773,-0.7450491438856457,2.473027724495151
Still D.R.E.,"Dr. Dre, Snoop Dogg",2,1999,1,1,33966,0,1210599487,141,78,"6,591",1,0,93,B,Major,-0.43580524434637236,0.6267970547115117,0.40954091588738123,1.0507527492941755,-0.1886134947097773,1.0217790701650076,3.4466130718242773
Stay Alive (Prod. SUGA of BTS),Jung Kook,1,2022,2,11,590,5,246376690,4,113,20,0,1,130,D,Minor,1.1273358054546914,0.9654357319214224,0.2850862396739642,-0.21107144639917033,-0.1886134947097773,-0.008870721364540124,-0.44772831749222675
Boyfriend,Dove Cameron,1,2022,2,11,3766,0,496311364,76,0,102,0,2,180,G,Minor,0.7195598794196312,0.16116887354788442,-0.27495980328641245,1.2873447859866778,-0.1886134947097773,-0.8186669861377562,-0.642445386958052
The Next Episode,"Dr. Dre, Snoop Dogg",2,1999,1,1,31762,0,843309044,142,40,"5,451",1,953,95,D#,Minor,1.2632611141330448,0.6691268893627504,0.036176887247130134,0.6170006820245878,-0.1886134947097773,1.2426325969213392,-0.35036978275931413
Light Switch,Charlie Puth,1,2022,1,19,4049,0,500340342,119,6,85,1,1,184,F#,Major,-0.707655861703079,0.8384462279677058,1.0940416350611748,-0.2899354586300045,-0.1886134947097773,-0.22972424812087178,1.791517981364763
City of Gods,"Kanye West, Alicia Keys, Fivio Foreign",3,2022,2,11,2096,0,107255472,34,3,30,0,0,147,G#,Minor,-1.183394442077316,-0.4314488115694593,-0.8972331843534976,1.6816648471408482,-0.1886134947097773,-0.4505777748772034,-0.44772831749222675
Brividi,"Mahmood, Blanco",2,2022,2,2,1175,0,135079152,34,1,31,0,0,123,G,Major,0.8554851880979846,-1.0663963313380418,1.2807236493813003,-0.13220743416833622,-0.1886134947097773,-0.524195617129314,1.0126497035014623
Lost,Frank Ocean,1,2012,1,1,29499,11,822239726,124,27,587,0,4,123,A#,Minor,0.9234478424371613,1.092425235875139,0.9073596207410494,-0.2899354586300045,-0.1886134947097773,2.126046703946666,-0.2530112480264015
In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675,235,106,"5,221",1,35,90,F#,Minor,-0.299879935668019,0.3728180468040786,0.34731357778067273,-0.8419835442458432,-0.1886134947097773,-0.671431301633535,1.9862350508305882
she's all i wanna be,Tate McRae,1,2022,2,4,2711,0,343197054,105,12,51,0,12,160,D,Minor,-0.43580524434637236,-1.1510560006405195,-0.1505051270729954,1.3267767921020948,-0.1886134947097773,0.43283633214812317,1.9862350508305882
Ginseng Strip 2002,Yung Lean,1,2013,8,16,4310,0,240769997,13,0,113,1,3,115,C#,Major,1.0593731511155147,-0.4314488115694593,0.036176887247130134,-1.0391435748229285,0.9487188142143481,-0.524195617129314,-0.2530112480264015
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,5342,0,426204830,33,123,7,0,4,141,D#,Major,1.195298459793868,0.8807760626189447,-0.39941447949982944,-0.684255519784175,-0.1886134947097773,2.273282388450887,0.1364228909052489
Notion,The Rare Occasions,1,2016,8,5,2393,0,421135627,22,13,65,0,6,160,A,Major,-1.1154317877381392,-0.13513996901078745,1.0940416350611748,-1.0391435748229285,-0.1886134947097773,-0.9659026706419773,-0.7398039216909645
Formula,Labrinth,1,2019,10,4,3444,7,554875730,24,85,102,0,1,145,B,Major,0.3797466077237478,-1.0663963313380418,-0.6483238319266635,0.14381660863958318,-0.1886134947097773,1.1690147546692287,2.083593585563501
Excuses,"Intense, AP Dhillon, Gurinder Gill",3,2020,7,24,272,4,327498031,7,21,2,0,0,95,F,Minor,-2.1348716028257892,-0.8970769927330865,-0.6483238319266635,0.3015446331012514,-0.1886134947097773,-0.3033420903729823,-0.5450868522251393
Cigarettes,Juice WRLD,1,2021,12,10,975,0,185408548,11,0,10,0,0,160,D,Major,-1.5911703681123759,0.9654357319214224,-1.3950518892071657,2.4308729633337722,-0.1886134947097773,-0.671431301633535,-0.15565271329348893
"Cayï¿½ï¿½ La Noche (feat. Cruz Cafunï¿½ï¿½, Abhir Hathi, Bejo, EL IMA)","Quevedo, La Pantera, Juseph, Cruz Cafunï¿½ï¿½, Bï¿½ï¿½jo, Abhir Hathi",7,2022,1,14,1034,1,245400167,19,5,12,0,0,174,F,Minor,-0.23191728132884232,1.2194147398288553,1.4674056637014259,-1.0391435748229285,-0.1886134947097773,-0.4505777748772034,-0.44772831749222675
California Love - Original Version (Explicit),"Dr. Dre, 2Pac, Roger",3,1995,12,28,18773,0,579395142,128,17,"1,663",0,0,92,G,Major,1.0593731511155147,-0.8124173234306089,1.0940416350611748,-0.4870954892070897,-0.1886134947097773,-0.4505777748772034,-0.642445386958052
Forgot About Dre,"Eminem, Dr. Dre",2,1999,1,1,19067,0,675039469,78,15,"1,674",0,3,134,G#,Major,-1.998946294147436,-1.320375339245475,0.09840422535383865,-0.684255519784175,-0.1886134947097773,-0.671431301633535,-0.2530112480264015
Down Under (feat. Colin Hay),"Luude, Colin Hay",2,2021,11,19,3541,2,252871192,57,13,50,1,7,172,B,Minor,-2.0669089484866126,-1.574354347152908,-2.515143975127919,2.115416914410436,-0.1886134947097773,-0.524195617129314,-0.642445386958052
Mujeriego,Ryan Castro,1,2021,12,17,1492,0,231996128,44,63,91,0,24,80,A,Major,-1.6591330224515526,0.3728180468040786,-1.6439612416339997,1.9576888899487677,-0.07488026381736478,2.1996645461987763,2.6677447939609764
HUMBLE.,Kendrick Lamar,1,2017,3,30,33206,1,1929770265,284,114,"1,481",0,5,150,C#,Minor,1.399186422811398,-0.9817366620355642,0.09840422535383865,-0.8025515381304262,-0.1886134947097773,-0.37695993262509286,1.9862350508305882
Stan,"Eminem, Dido",2,1999,11,21,17115,0,918915401,83,63,"4,180",0,0,80,F#,Minor,-0.09599197265048895,-0.9394068273843253,0.036176887247130134,-0.13220743416833622,-0.1886134947097773,-0.7450491438856457,-0.35036978275931413
Contection,"GODZZ__-, Zakaria",2,2020,1,16,6955,0,1180896317,65,45,398,0,1,166,A#,Minor,1.1273358054546914,0.41514788145531745,-1.3950518892071657,0.18324861475500023,-0.1886134947097773,-0.671431301633535,-0.15565271329348893
Swim,Chase Atlantic,1,2017,10,4,2742,0,498960285,5,1,62,0,0,120,G#,Major,-0.09599197265048895,1.3464042437825718,-1.3328245511004573,2.273144938872104,-0.1886134947097773,0.06474712088757043,0.8179326340356371
Numb Little Bug,Em Beihold,1,2022,1,28,2026,0,258714692,47,3,42,12,6,85,G#,Minor,-1.2513570964164926,-0.050480299708309764,-1.7061885797407084,2.3914409572183555,-0.1886134947097773,-0.524195617129314,2.3756691897622386
212,"Mainstreet, Chefin",2,2022,1,15,352,0,143139338,10,0,39,0,0,154,D,Minor,0.03993333602786441,-0.26212947296450395,0.40954091588738123,-0.3293674647454215,-0.1886134947097773,-0.524195617129314,1.4020838424331128
Problemï¿½,"Alvaro Diaz, Rauw Alejandro",2,2021,10,22,1517,0,209768491,42,7,15,0,4,92,D,Minor,0.6515972250804546,0.07650920424540675,0.8451322826343408,-0.2899354586300045,-0.1886134947097773,0.8009255434086759,-0.642445386958052
Bussin,"Nicki Minaj, Lil Baby",2,2022,2,11,847,0,64714573,25,0,14,0,0,140,B,Major,0.24382129904539446,-0.6007681501744147,-0.7727785081400805,1.405640804332929,-0.1886134947097773,-0.524195617129314,2.473027724495151
Worst Day,Future,1,2022,2,11,910,0,50746620,20,3,24,0,0,89,C#,Major,0.991410496776338,1.304074409131333,0.09840422535383865,-0.5265274953225068,-0.1886134947097773,-0.524195617129314,-0.44772831749222675
Malvada,Zï¿½ï¿½ Fe,1,2022,1,28,601,0,154119539,28,73,64,0,0,135,F,Minor,1.3312237684722212,-0.21979963831326513,-0.27495980328641245,-0.9997115687075114,-0.1886134947097773,-0.37695993262509286,0.5258570298368993
Hrs and Hrs,Muni Long,1,2021,11,19,1800,0,181328253,43,36,46,13,4,140,G#,Minor,0.3797466077237478,0.3304882121528398,1.0318142969544664,-0.5265274953225068,-0.1886134947097773,-0.671431301633535,-0.44772831749222675
Alien Blues,Vundabar,1,2015,7,24,1930,0,370068639,3,0,28,0,1,82,D#,Major,1.2632611141330448,-0.34678914226698165,-0.1505051270729954,-0.8419835442458432,-0.1886134947097773,-0.37695993262509286,0.3311399603710741
Thinking Out Loud,Ed Sheeran,1,2014,1,1,33032,0,2280566092,363,129,"3,895",0,28,79,D,Major,-0.9115438247206091,-0.26212947296450395,0.9073596207410494,-0.9997115687075114,-0.1886134947097773,-0.08248856361665068,-0.5450868522251393
Still Don't Know My Name,Labrinth,1,2019,10,4,6332,0,563902868,47,116,266,0,0,88,F,Major,-1.3872824050948458,-0.77008748877937,1.1562689731678835,-0.3293674647454215,-0.1886134947097773,-0.5978134593814245,-0.5450868522251393
Christmas Tree,V,1,2021,12,24,509,9,317622165,8,106,6,0,8,139,F,Major,-0.9795064790597858,-1.574354347152908,-1.3328245511004573,1.4845048165637629,-0.1886134947097773,-0.37695993262509286,-0.7398039216909645
When I R.I.P.,Labrinth,1,2019,10,4,2578,0,203680270,8,67,66,0,0,80,G#,Minor,0.5836345707412779,1.1770849051776167,1.0318142969544664,-0.3293674647454215,-0.1886134947097773,-0.8922848283898668,2.278310655029326
Do We Have A Problem?,"Nicki Minaj, Lil Baby",2,2022,2,4,1064,0,81350745,42,1,26,0,0,120,C#,Minor,-0.6396932073639023,-1.0240664966868032,-1.7684159178474168,2.3520089511029383,-0.1886134947097773,-0.671431301633535,-0.7398039216909645
Forever,Labrinth,1,2019,10,4,3618,0,282883169,21,86,138,0,2,80,E,Minor,-1.3872824050948458,-1.8706631897115797,-0.8972331843534976,0.2226806208704173,-0.1886134947097773,-0.8186669861377562,-0.642445386958052
Gospel (with Eminem),"Eminem, Dr. Dre",2,2022,2,4,1040,0,64787943,8,0,29,0,0,117,C#,Major,-2.0669089484866126,-1.0240664966868032,-0.5238691557132465,-0.7236875258995921,-0.1886134947097773,-0.37695993262509286,-0.7398039216909645
Seï¿½ï¿½o,"Shawn Mendes, Camila Cabello",2,2019,6,19,15010,2,2484812918,453,50,"1,785",1,8,117,A,Minor,0.1758586447062178,-0.8547471580818476,-1.2705972129937486,2.273144938872104,-0.1886134947097773,-0.671431301633535,2.765103328693889
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,4708,0,461437791,13,7,55,0,1,140,F,Minor,-0.7756185160422557,0.7114567240139893,1.5296330018081346,-0.8814155503612603,-0.1886134947097773,1.0953969124171181,0.8179326340356371
Adore You,Harry Styles,1,2019,12,6,13454,1,1439191367,246,71,519,2,5,99,G#,Major,0.31178395338457116,0.796116393316467,1.0940416350611748,-0.9602795625920945,-0.1886134947097773,-1.0395205128940879,0.6232155645698119
La Santa,"Daddy Yankee, Bad Bunny",2,2020,2,29,4890,20,759208783,52,42,100,0,0,93,C#,Major,0.31178395338457116,-0.6430979848256535,0.4717682539940897,-0.013911415822085053,0.4937858906446979,-0.524195617129314,-0.642445386958052
Something In The Way - Remastered 2021,Nirvana,1,1991,9,24,9514,0,368646862,45,27,"1,197",0,43,106,G#,Major,-1.1154317877381392,-0.516108480871937,-2.2040072845943763,2.5097369755646066,-0.1886134947097773,-0.5978134593814245,-0.642445386958052
Sweetest Pie,"Dua Lipa, Megan Thee Stallion",2,2022,3,11,3501,0,299634472,69,2,51,11,0,124,G,Major,-0.299879935668019,-0.9394068273843253,-0.8350058462467891,0.6564326881400049,-0.1886134947097773,0.5064541744002338,-0.642445386958052
Bam Bam (feat. Ed Sheeran),"Camila Cabello, Ed Sheeran",2,2022,3,4,6111,4,756907987,185,40,492,9,35,95,G#,Major,0.8554851880979846,0.9654357319214224,-0.27495980328641245,-0.7236875258995921,-0.1886134947097773,-0.3033420903729823,1.4994423771660252
Una Noche en Medellï¿½,Cris Mj,1,2022,1,21,5415,32,682475162,46,16,53,1,2,96,A#,Minor,1.399186422811398,-1.5320245125016692,-0.5238691557132465,-0.9997115687075114,-0.1886134947097773,-0.7450491438856457,-0.44772831749222675
Envolver,Anitta,1,2021,11,11,4673,2,546191065,123,113,180,1,4,92,E,Minor,0.991410496776338,1.0500954012239,0.34731357778067273,-0.4082314769762556,-0.1886134947097773,-0.7450491438856457,-0.5450868522251393
Starlight,Dave,1,2022,3,3,1856,3,229473310,29,40,31,1,1,124,G,Major,-0.503767898685549,0.7114567240139893,1.218496311274592,-0.8814155503612603,-0.1886134947097773,0.43283633214812317,0.03906435617233629
Hati-Hati di Jalan,Tulus,1,2022,3,3,200,2,202677468,12,4,0,0,0,72,F#,Major,-0.7756185160422557,-0.47377864622069815,-0.6483238319266635,1.7999608654870993,-0.1886134947097773,-0.5978134593814245,-0.642445386958052
DANï¿½ï¿½A,"Mc Pedrinho, Pedro Sampaio",2,2022,2,1,911,2,208166039,45,0,99,1,1,135,A,Minor,0.24382129904539446,-0.516108480871937,1.342950987488009,-0.9602795625920945,-0.1886134947097773,2.420518072955108,1.4020838424331128
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,2954,2,527033089,18,82,0,0,5,95,A#,Major,0.3797466077237478,1.558053417038766,0.16063156346054716,-0.2505034525145874,-0.1886134947097773,1.0217790701650076,-0.5450868522251393
"Residente: Bzrp Music Sessions, Vol. 49","Residente, Bizarrap",2,2022,3,3,461,0,94616487,7,11,13,0,0,71,C#,Minor,0.991410496776338,-0.38911897691822045,0.6584502683142153,-0.8025515381304262,-0.1886134947097773,3.3039321799804346,-0.44772831749222675
Jordan,Ryan Castro,1,2021,4,30,2844,2,394030335,29,2,35,1,0,180,A#,Minor,-0.7756185160422557,-1.320375339245475,-0.6483238319266635,1.6028008349100142,-0.1886134947097773,-0.8922848283898668,-0.5450868522251393
Nail Tech,Jack Harlow,1,2022,2,18,2939,0,193443895,42,0,24,0,0,150,E,Minor,-0.16395462698966562,1.558053417038766,0.4717682539940897,0.3804086453320855,1.4036517377839983,0.13836496313968097,-0.7398039216909645
Chale,Eden Muï¿½ï,1,2022,2,18,695,11,299648208,16,41,13,1,1,189,G#,Major,-0.299879935668019,-0.9394068273843253,-0.1505051270729954,-0.8814155503612603,-0.1886134947097773,-0.008870721364540124,-0.642445386958052
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866,16,319757142,27,84,32,7,11,140,G,Major,0.31178395338457116,1.6427130863412438,-1.0216878605669146,0.2226806208704173,-0.1886134947097773,-0.008870721364540124,1.2073667729672874
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729,0,153240879,26,1,19,0,0,104,D,Minor,0.9234478424371613,0.7114567240139893,-0.39941447949982944,2.233712932756687,-0.1886134947097773,-0.524195617129314,2.278310655029326
this is what falling in love feels like,JVKE,1,2021,9,3,2005,0,346127840,16,5,43,0,7,129,B,Major,-0.707655861703079,-0.8970769927330865,1.5296330018081346,-0.644823513668758,-0.1886134947097773,1.0953969124171181,-0.2530112480264015
La Zona,Bad Bunny,1,2020,2,29,1188,0,312622938,13,1,15,0,1,94,C#,Minor,-1.1154317877381392,-1.278045504594236,-0.0882777889662869,-0.8419835442458432,-0.1886134947097773,1.6843396504340025,-0.7398039216909645
Hope,XXXTENTACION,1,2018,3,16,3659,0,1200808494,11,10,267,0,7,146,A,Minor,1.0593731511155147,0.20349870819912327,1.0940416350611748,-0.644823513668758,-0.1886134947097773,-0.671431301633535,-0.5450868522251393
Levitating,Dua Lipa,1,2020,3,27,9833,0,797196073,233,82,531,1,1,103,F#,Minor,-0.7756185160422557,-1.1087261659892806,-1.2083698748870402,-0.9997115687075114,0.1525861979674603,-0.8186669861377562,-0.7398039216909645
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887,34,1970673297,315,160,"6,284",1,46,124,D,Major,-0.503767898685549,-0.21979963831326513,0.40954091588738123,-0.9208475564766774,-0.1886134947097773,-0.15610640586876123,-0.642445386958052
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257,0,665765558,10,0,70,0,0,164,A#,Minor,-1.0474691333989625,-0.9817366620355642,-1.0216878605669146,1.0901847554095925,-0.07488026381736478,0.06474712088757043,-0.7398039216909645
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473,0,263779030,2,0,12,0,10,138,D,Major,0.9234478424371613,0.41514788145531745,1.7785423542349685,0.8930247248325073,-0.1886134947097773,-0.4505777748772034,0.03906435617233629
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226,0,339473453,36,2,11,0,14,126,A,Minor,0.03993333602786441,0.11883903889664559,0.7206776064209238,-0.21107144639917033,-0.1886134947097773,-0.524195617129314,0.9152911687685498
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375,21,2204080728,336,188,"2,692",3,30,103,B,Minor,0.1758586447062178,1.9390219288999158,-0.1505051270729954,0.8141607126016731,-0.1886134947097773,-0.5978134593814245,-0.642445386958052
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032,0,2591224264,315,159,"2,179",0,44,95,G#,Major,-0.9115438247206091,0.3304882121528398,1.1562689731678835,-1.0391435748229285,4.815648664556375,0.13836496313968097,-0.642445386958052
O.O,NMIXX,1,2022,2,22,290,0,135444283,9,66,10,0,0,200,B,Minor,0.1758586447062178,1.5157235823875272,1.4674056637014259,-0.8814155503612603,-0.1886134947097773,0.5800720166523443,-0.2530112480264015
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605,0,236872197,15,48,50,0,3,98,F#,Minor,-1.1154317877381392,-1.9553228590140574,0.22285890156725569,-0.5659595014379238,0.038852967075047776,-0.22972424812087178,-0.44772831749222675
First Class,Jack Harlow,1,2022,4,8,8737,0,694525298,163,32,137,15,12,107,G#,Major,0.3797466077237478,0.4574777161065563,0.6584502683142153,-1.0391435748229285,-0.1886134947097773,1.1690147546692287,-0.2530112480264015
Fuera del mercado,Danny Ocean,1,2022,2,17,2499,21,421365166,68,24,43,1,0,92,G#,Major,0.8554851880979846,-0.6430979848256535,1.342950987488009,-0.8814155503612603,-0.1886134947097773,-1.1131383551461984,-0.5450868522251393
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697,1,349746291,55,3,32,0,0,90,G,Major,-1.5911703681123759,-0.4314488115694593,1.71631501612826,-1.0391435748229285,-0.1886134947097773,1.9051931771903343,-0.35036978275931413
When You're Gone,Shawn Mendes,1,2022,3,31,2092,0,255120451,75,11,44,0,14,147,F,Major,0.7195598794196312,-0.8547471580818476,0.4717682539940897,-0.9997115687075114,-0.1886134947097773,-0.524195617129314,-0.642445386958052
In My Head,Lil Tjay,1,2022,4,1,1185,0,190981339,21,0,31,0,0,143,C#,Major,-1.5232077137731992,0.6691268893627504,1.591860339914843,-0.684255519784175,1.0624520451067607,-0.5978134593814245,-0.5450868522251393
Wait a Minute!,Willow,1,2015,1,11,11985,0,924193303,79,80,250,3,10,101,D#,Minor,0.8554851880979846,0.16116887354788442,-0.5238691557132465,-0.5265274953225068,-0.1886134947097773,-0.7450491438856457,-0.15565271329348893
LOVE DIVE,IVE,1,2022,4,5,753,8,305771063,28,124,13,0,1,118,C#,Minor,1.399186422811398,-1.828333355060341,-0.9594605224602061,-0.684255519784175,-0.1886134947097773,-0.671431301633535,0.3311399603710741
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995,0,273005485,49,17,30,0,0,98,G,Minor,1.399186422811398,0.03417936959416791,0.2850862396739642,-1.0391435748229285,-0.1886134947097773,-0.7450491438856457,1.2073667729672874
